original_code	code	name	island_code	region_area_id	town	original_name
IP000000001	IP000000001	Mi Círculo no está en la lista  				Mi Círculo no está en la lista  
IP000000002	IP000000002	En mi municipio no hay Círculo, pero estoy dispuesto/a a constituirlo				En mi municipio no hay Círculo, pero estoy dispuesto/a a constituirlo
TM1215002-01	TM101500201	Ames			m_15_002_6	A Coruña - Ames - Ames
TM1215005-01	TM101500501	Arteixo			m_15_005_0	A Coruña - Arteixo - Arteixo
TM1215006-01	TM101500601	Arzúa			m_15_006_3	A Coruña - Arzúa - Arzúa
TM1215009-01	TM101500901	Betanzos			m_15_009_8	A Coruña - Betanzos - Betanzos
TM1215011-01	TM101501101	Boiro			m_15_011_9	A Coruña - Boiro - Boiro
TM1215017-01	TM101501701	Cambre			m_15_017_7	A Coruña - Cambre - Cambre
TM1215019-01	TM101501901	Carballo			m_15_019_6	A Coruña - Carballo - Carballo
TM1215021-01	TM101502101	Carral			m_15_021_7	A Coruña - Carral - Carral
TM1215022-01	TM101502201	Cedeira			m_15_022_2	A Coruña - Cedeira - Cedeira
TM1215023-01	TM101502301	Cee			m_15_023_8	A Coruña - Cee - Cee
TM1215030-01	TM101503001	A Coruña			m_15_030_8	A Coruña - Coruña, A - A Coruña
TM1215036-01	TM101503601	Ferrol			m_15_036_7	A Coruña - Ferrol - Ferrol
TM1215037-01	TM101503701	Fisterra			m_15_037_3	A Coruña - Fisterra - Fisterra
TM1215054-01	TM101505401	Narón			m_15_054_6	A Coruña - Narón - Narón
TM1215058-01	TM101505801	Oleiros			m_15_058_4	A Coruña - Oleiros - Oleiros
TM1215067-01	TM101506701	Pobra do Caramiñal, A			m_15_067_6	A Coruña - Pobra do Caramiñal, A - Pobra do Caramiñal, A
TM1215078-01	TM101507801	Santiago de Compostela			m_15_078_0	A Coruña - Santiago de Compostela - Santiago de Compostela
TM1215082-01	TM101508201	Teo			m_15_082_9	A Coruña - Teo - Teo
TM1215087-01	TM101508701	Valdoviño			m_15_087_2	A Coruña - Valdoviño - Valdoviño
TM080200300	TM050200301	Círculo Podemos Albacete			m_02_003_0	Albacete - Albacete - Círculo Podemos Albacete
TM080200900	TM050200901	Círculo Podemos Almansa			m_02_009_6	Albacete - Almansa - Círculo Podemos Almansa
TM080204500	TM050204501	Círculo Podemos Madrigueras			m_02_045_0	Albacete - Madrigueras - Círculo Podemos Madrigueras
TM080206900	TM050206901	Círculo Podemos La Roda			m_02_069_3	Albacete - Roda, La - Círculo Podemos La Roda
TM080207800	TM050207801	Círculo Podemos Villalgordo del Júcar			m_02_078_8	Albacete - Villalgordo del Júcar - Círculo Podemos Villalgordo del Júcar
TM080208100	TM050208101	Círculo Podemos Villarrobledo			m_02_081_2	Albacete - Villarrobledo - Círculo Podemos Villarrobledo
TM1003009	TM080300901	Podem Alcoy			m_03_009_2	Alicante - Alcoy/Alcoi - Podem Alcoy
TM1003011	TM080301101	Podemos Alfàs			m_03_011_3	Alicante - Alfàs del Pi, l' - Podemos Alfàs
TB100301407	TB080301407	Círculo Lucentum (San Blas-Centro)			m_03_014_9	Alicante - Alicante/Alacant - Círculo Lucentum (San Blas-Centro)
TB100301406	TB080301406	Círculo Podemos Alicante Benacantil			m_03_014_9	Alicante - Alicante/Alacant - Círculo Podemos Alicante Benacantil
TB100301404	TB080301404	Círculo Podemos Alicante Oeste			m_03_014_9	Alicante - Alicante/Alacant - Círculo Podemos Alicante Oeste
TB100301403	TB080301403	Círculo Podemos Alicante Partidas Rurales			m_03_014_9	Alicante - Alicante/Alacant - Círculo Podemos Alicante Partidas Rurales
TB100301402	TB080301402	Podemos Alicante Norte			m_03_014_9	Alicante - Alicante/Alacant - Podemos Alicante Norte
TB100301405	TB080301405	Podemos Pla-Carolinas			m_03_014_9	Alicante - Alicante/Alacant - Podemos Pla-Carolinas
TB100301401	TB080301401	Podemos Playas Alicante			m_03_014_9	Alicante - Alicante/Alacant - Podemos Playas Alicante
TM1003018	TM080301801	Círculo Podemos Altea			m_03_018_7	Alicante - Altea - Círculo Podemos Altea
TM1003019	TM080301901	Podemos Aspe			m_03_019_0	Alicante - Aspe - Podemos Aspe
TM1003031	TM080303101	Podemos Benidorm			m_03_031_9	Alicante - Benidorm - Podemos Benidorm
TM1003041	TM080304101	Podemos Benissa			m_03_041_7	Alicante - Benissa - Podemos Benissa
TM1003049	TM080304901	Círculo Podemos Callosa de Segura			m_03_049_4	Alicante - Callosa de Segura - Círculo Podemos Callosa de Segura
TM1003047	TM080304701	Podemos Calp			m_03_047_5	Alicante - Calp - Podemos Calp
TM1003050	TM080305001	Círculo Podemos El Campello			m_03_050_7	Alicante - Campello, El - Círculo Podemos El Campello
TM100356	TM080305601	Podem Cocentaina			m_03_056_6	Alicante - Cocentaina - Podem Cocentaina
TM1003059	TM080305901	Podemos Crevillente			m_03_059_1	Alicante - Crevillent - Podemos Crevillente
TM1003063	TM080306301	Círculo Podemos Denia			m_03_063_3	Alicante - Dénia - Círculo Podemos Denia
TB100306503	TB080306503	Círculo Centro Podem Elx			m_03_065_1	Alicante - Elche/Elx - Círculo Centro Podem Elx
TB100306501	TB080306501	Círculo de Altabix			m_03_065_1	Alicante - Elche/Elx - Círculo de Altabix
TB100306504	TB080306504	Círculo Podemos La Marina Elche			m_03_065_1	Alicante - Elche/Elx - Círculo Podemos La Marina Elche
TB100306502	TB080306502	Círculo San Antón			m_03_065_1	Alicante - Elche/Elx - Círculo San Antón
TM1003066	TM080306601	Podemos Elda			m_03_066_4	Alicante - Elda - Podemos Elda
TM1003069	TM080306901	Podemos Finestrat			m_03_069_9	Alicante - Finestrat - Podemos Finestrat
TM1003071	TM080307101	Podem Gata			m_03_071_0	Alicante - Gata de Gorgos - Podem Gata
TM1003076	TM080307601	Podemos Guardamar del Segura			m_03_076_2	Alicante - Guardamar del Segura - Podemos Guardamar del Segura
TM1003079	TM080307901	Podemos Ibi			m_03_079_7	Alicante - Ibi - Podemos Ibi
TM1003082	TM080308201	Podemos Xàbia			m_03_082_3	Alicante - Jávea/Xàbia - Podemos Xàbia
TM1003089	TM080308901	Podemos Monover			m_03_089_5	Alicante - Monóvar/Monòver - Podemos Monover
TM1003090	TM080309001	Círculo Podemos Mutxamel			m_03_090_9	Alicante - Mutxamel - Círculo Podemos Mutxamel
TM1003094	TM080309401	Podemos la Nucia			m_03_094_2	Alicante - Nucia, La - Podemos la Nucia
TM1003096	TM080309601	Podemos Onil			m_03_096_8	Alicante - Onil - Podemos Onil
TM1003099	TM080309901	Podemos Orihuela			m_03_099_3	Alicante - Orihuela - Podemos Orihuela
TM1003104	TM080310401	Círculo Podem Petrer			m_03_104_0	Alicante - Petrer - Círculo Podem Petrer
TM100390200	TM080390201	Círculo Podemos Pilar de la Horadada			m_03_902_1	Alicante - Pilar de la Horadada - Círculo Podemos Pilar de la Horadada
TM1003122	TM080312201	Podemos San Vicente			m_03_122_5	Alicante - San Vicente del Raspeig/Sant Vicent del Raspeig - Podemos San Vicente
TM1003119	TM080311901	Círculo Sant Joan			m_03_119_9	Alicante - Sant Joan d'Alacant - Círculo Sant Joan
TM100312301	TM080312301	Círculo Podemos Sax			m_03_123_1	Alicante - Sax - Círculo Podemos Sax
TM1003133	TM080313301	Podemos Torrevieja			m_03_133_9	Alicante - Torrevieja - Podemos Torrevieja
TM1003139	TM080313901	Círculo Podem La Vila Joiosa			m_03_139_5	Alicante - Villajoyosa/Vila Joiosa, la - Círculo Podem La Vila Joiosa
TM1003140	TM080314001	Círculo Podemos Villena			m_03_140_9	Alicante - Villena - Círculo Podemos Villena
TM010401301	TM010401301	Podemos Almería			m_04_013_9	Almería - Almería - Podemos Almería
TM010403201	TM010403201	Podemos Carboneras			m_04_032_9	Almería - Carboneras - Podemos Carboneras
TM010490201	TM010490201	Podemos El-Ejido			m_04_902_6	Almería - Ejido, El - Podemos El-Ejido
TM010405201	TM010405201	Huércal de Almería			m_04_052_4	Almería - Huércal de Almería - Huércal de Almería
TC010400001	TC010400001	Podemos Valle del Almanzora		38		Almería - Macael - Podemos Valle del Almanzora
TM010406401	TM010406401	Podemos Mojacar			m_04_064_3	Almería - Mojácar - Podemos Mojacar
TM010406601	TM010406601	Podemos Níjar			m_04_066_9	Almería - Níjar - Podemos Níjar
TM010407401	TM010407401	Podemos Pechina			m_04_074_1	Almería - Pechina - Podemos Pechina
TM010407901	TM010407901	Podemos Roquetas de Mar			m_04_079_2	Almería - Roquetas de Mar - Podemos Roquetas de Mar
TM010409901	TM010409901	Podemos Vélez-Rubio			m_04_099_8	Almería - Vélez-Rubio - Podemos Vélez-Rubio
TM010410001	TM010410001	Podemos Vera			m_04_100_2	Almería - Vera - Podemos Vera
TM010410201	TM010410201	Podemos Vícar			m_04_102_4	Almería - Vícar - Podemos Vícar
TM160100206	TM140100201	Amurrio			m_01_002_9	Araba - Amurrio - Amurrio
TM160103621	TM140103601	Laudio			m_01_036_0	Araba - Laudio/Llodio - Laudio
TC160100102	TC140100001	Llanada alavesa		37		Araba - Llanada alavesa - Llanada alavesa
TM160104326	TM140104301	Oion			m_01_043_7	Araba - Oyón-Oion - Oion
TB160105901	TB140105901	Vitoria-Centro			m_01_059_0	Araba - Vitoria-Gasteiz - Vitoria-Centro
TB160105903	TB140105902	Vitoria-Oeste			m_01_059_0	Araba - Vitoria-Gasteiz - Vitoria-Oeste
TM033300401	TM033300401	Círculo Avilés			m_33_004_5	Asturies - Avilés - Círculo Avilés
TM033301201	TM033301201	Círculo Cangues d'Onís			m_33_012_2	Asturies - Cangas de Onís - Círculo Cangues d'Onís
TM033301101	TM033301101	Círculo Cangas del Narcea			m_33_011_7	Asturies - Cangas del Narcea - Círculo Cangas del Narcea
TM033301601	TM033301601	Círculo Castrillón			m_33_016_9	Asturies - Castrillón - Círculo Castrillón
TM033302101	TM033302101	Círculo Cuideiru			m_33_021_5	Asturies - Cudillero - Círculo Cuideiru
TM033302401	TM033302401	Círculo Xixón			m_33_024_1	Asturies - Gijón - Círculo Xixón
TM033303101	TM033303101	Círculo Llangréu			m_33_031_3	Asturies - Langreo - Círculo Llangréu
TM033303201	TM033303201	Círculo Llaviana			m_33_032_8	Asturies - Laviana - Círculo Llaviana
TC033300001	TC033300001	Círculo Navia-Coaña		42		Asturies - Navia-Coaña - Círculo Navia-Coaña
TB033304402	TB033304402	Círculo Otero			m_33_044_7	Asturies - Oviedo - Círculo Otero
TM033304403	TM033304401	Círculo Uviéu			m_33_044_7	Asturies - Oviedo - Círculo Uviéu
